Number of Connectives: Mendes Additive Connectives,Number of Connectives: Mendes All Connectives,Number of Connectives: Mendes Causal Connectives,Number of Connectives: Mendes Concessive Connectives,Number of Connectives: Mendes Single-Word Connectives,Number of Connectives: Mendes Temporal Connectives,Cohesive Complexity Feature: Mendes Additive Connectives per Token,Cohesive Complexity Feature: Mendes All Connectives per Token,Cohesive Complexity Feature: Mendes Causal Connectives per Token,Cohesive Complexity Feature: Mendes Concessive Connectives per Token,Cohesive Complexity Feature: Mendes Single-Word Connectives per Connective,Proficiency
6,12,0,0,12,0,0.043165467625899,0.086330935251799,0,0,1,1
9,23,1,0,23,0,0.073170731707317,0.186991869918699,0.008130081300813,0,1,1
9,10,0,0,10,0,0.1,0.111111111111111,0,0,1,1
19,28,0,0,28,2,0.100529100529101,0.148148148148148,0,0,1,1
4,15,0,0,15,0,0.020833333333333,0.078125,0,0,1,1
7,16,0,0,16,0,0.043478260869565,0.099378881987578,0,0,1,2
8,26,2,0,26,0,0.02962962962963,0.096296296296296,0.007407407407407,0,1,2
6,16,1,0,16,0,0.030612244897959,0.081632653061225,0.005102040816327,0,1,2
2,23,1,0,23,2,0.009569377990431,0.110047846889952,0.004784688995215,0,1,2
2,13,1,0,13,1,0.018181818181818,0.118181818181818,0.009090909090909,0,1,2
6,20,0,0,20,1,0.024,0.08,0,0,1,2
20,50,2,0,50,1,0.059347181008902,0.148367952522255,0.00593471810089,0,1,3
2,19,0,0,19,0,0.008264462809917,0.078512396694215,0,0,1,3
11,31,3,0,31,0,0.036544850498339,0.102990033222591,0.009966777408638,0,1,1
7,13,0,0,13,0,0.056910569105691,0.105691056910569,0,0,1,1
11,22,0,0,22,0,0.055276381909548,0.110552763819095,0,0,1,1
13,18,1,0,18,1,0.071428571428571,0.098901098901099,0.005494505494505,0,1,1
3,12,0,0,12,0,0.052631578947368,0.210526315789474,0,0,1,1
11,45,7,0,45,1,0.032448377581121,0.132743362831858,0.020648967551622,0,1,1
3,7,0,0,7,0,0.033333333333333,0.077777777777778,0,0,1,1
22,38,3,0,38,3,0.084942084942085,0.146718146718147,0.011583011583012,0,1,1
3,6,0,0,6,0,0.03448275862069,0.068965517241379,0,0,1,1
7,36,2,0,36,2,0.022653721682848,0.116504854368932,0.006472491909385,0,1,1
4,11,1,0,11,0,0.056338028169014,0.154929577464789,0.014084507042254,0,1,1
5,8,0,0,8,0,0.057471264367816,0.091954022988506,0,0,1,1
4,12,1,0,12,0,0.034188034188034,0.102564102564103,0.008547008547009,0,1,1
2,13,2,0,13,0,0.017543859649123,0.114035087719298,0.017543859649123,0,1,1
2,7,0,0,7,0,0.024096385542169,0.08433734939759,0,0,1,1
