Number Of Letters,Number of Sentences,Number of Tokens,Number of Unique Words,Number of syllables,Number of Tokens with More Than 2 Syllables,Mean Sentence Length in Letters,Mean Sentence Length in Syllables,Mean Sentence Length in Tokens,Number of Word Tokens (excluding punctuation and numbers),Number of Word Tokens (including Punctuation and Numbers),Number of Word Types,Number of Word Types (excluding Punctuation and numbers),Number of Word Types (including Punctuation and Numbers),Number of Word Types with More Than 2 Syllables,Percentage of Tokens with More Than 2 Syllables,Percentage of Word Types with More Than 2 Syllables,Proficiency
632,13,139,54,272,72,48.6153846153846,20.9230769230769,10.6923076923077,137,154,76,75,81,55,0.517985611510791,0.705128205128205,1
514,7,123,69,233,74,73.4285714285714,33.2857142857143,17.5714285714286,123,132,86,87,90,65,0.601626016260163,0.722222222222222,1
334,5,90,45,147,42,66.8,29.4,18,89,94,56,56,59,38,0.466666666666667,0.655172413793103,1
719,10,189,72,328,91,71.9,32.8,18.9,187,203,97,97,100,72,0.481481481481481,0.705882352941177,1
804,7,192,73,363,100,114.857142857143,51.8571428571429,27.4285714285714,192,218,102,104,108,78,0.520833333333333,0.728971962616822,1
693,10,161,93,303,88,69.3,30.3,16.1,160,187,106,106,110,77,0.546583850931677,0.712962962962963,2
1240,11,270,92,542,155,112.727272727273,49.2727272727273,24.5454545454545,270,293,129,133,135,106,0.574074074074074,0.762589928057554,2
876,10,196,97,401,111,87.6,40.1,19.6,196,209,119,120,124,95,0.566326530612245,0.772357723577236,2
907,10,209,83,377,115,90.7,37.7,20.9,203,237,123,118,127,86,0.550239234449761,0.666666666666667,2
493,4,110,48,212,59,123.25,53,27.5,110,120,69,69,71,50,0.536363636363636,0.72463768115942,2
1048,22,250,95,467,138,47.6363636363636,21.2272727272727,11.3636363636364,246,285,136,133,141,104,0.552,0.737588652482269,2
1488,18,337,121,678,173,82.6666666666667,37.6666666666667,18.7222222222222,337,386,161,164,169,134,0.513353115727003,0.779069767441861,3
1070,16,242,102,484,135,66.875,30.25,15.125,242,275,131,134,140,107,0.557851239669422,0.75886524822695,3
1200,25,301,93,537,160,48,21.48,12.04,301,337,134,134,137,114,0.53156146179402,0.791666666666667,1
438,9,123,41,199,54,48.6666666666667,22.1111111111111,13.6666666666667,123,141,60,60,62,40,0.439024390243902,0.634920634920635,1
758,15,199,81,348,96,50.5333333333333,23.2,13.2666666666667,196,230,106,105,110,80,0.482412060301508,0.714285714285714,1
665,18,182,57,281,71,36.9444444444444,15.6111111111111,10.1111111111111,182,207,81,81,83,55,0.39010989010989,0.632183908045977,1
232,7,57,26,101,27,33.1428571428571,14.4285714285714,8.14285714285714,57,69,35,36,39,20,0.473684210526316,0.555555555555556,1
1455,14,339,98,658,177,103.928571428571,47,24.2142857142857,339,372,150,153,155,117,0.52212389380531,0.722222222222222,1
339,20,90,40,151,49,16.95,7.55,4.5,90,119,57,58,62,34,0.544444444444444,0.557377049180328,1
1088,19,259,87,499,149,57.2631578947368,26.2631578947368,13.6315789473684,259,290,125,127,129,104,0.575289575289575,0.77037037037037,1
355,19,87,44,152,47,18.6842105263158,8,4.57894736842105,86,117,61,60,65,38,0.540229885057471,0.575757575757576,1
1387,31,309,112,608,172,44.741935483871,19.6129032258065,9.96774193548387,304,349,159,156,164,130,0.55663430420712,0.764705882352941,1
291,17,71,28,122,39,17.1176470588235,7.17647058823529,4.17647058823529,70,98,44,44,49,25,0.549295774647887,0.555555555555556,1
321,8,87,40,140,39,40.125,17.5,10.875,85,98,55,53,57,35,0.448275862068966,0.603448275862069,1
