Number of Connectives: Mendes Additive Connectives,Number of Connectives: Mendes All Connectives,Number of Connectives: Mendes Causal Connectives,Number of Connectives: Mendes Concessive Connectives,Number of Connectives: Mendes Single-Word Connectives,Number of Connectives: Mendes Temporal Connectives,Cohesive Complexity Feature: Mendes Additive Connectives per Token,Cohesive Complexity Feature: Mendes All Connectives per Token,Cohesive Complexity Feature: Mendes Causal Connectives per Token,Cohesive Complexity Feature: Mendes Concessive Connectives per Token,Cohesive Complexity Feature: Mendes Single-Word Connectives per Connective,Level
9,32,2,0,32,1,0.025,0.088888888888889,0.005555555555556,0,1,1
18,42,2,0,42,1,0.05421686746988,0.126506024096386,0.006024096385542,0,1,1
9,31,3,0,31,1,0.025714285714286,0.088571428571429,0.008571428571429,0,1,1
13,28,0,0,28,0,0.036414565826331,0.07843137254902,0,0,1,1
8,46,6,0,46,3,0.022792022792023,0.131054131054131,0.017094017094017,0,1,1
17,42,5,0,42,0,0.051359516616314,0.126888217522659,0.015105740181269,0,1,1
16,36,3,0,36,2,0.048192771084337,0.108433734939759,0.009036144578313,0,1,1
16,36,2,1,36,0,0.046242774566474,0.104046242774566,0.005780346820809,0.002890173410405,1,1
6,34,1,0,34,1,0.018237082066869,0.103343465045593,0.003039513677812,0,1,1
13,35,0,0,35,1,0.033766233766234,0.090909090909091,0,0,1,1
11,39,5,0,39,0,0.027777777777778,0.098484848484849,0.012626262626263,0,1,1
13,37,6,1,37,2,0.039755351681957,0.113149847094801,0.018348623853211,0.003058103975535,1,1
8,31,2,0,31,1,0.024615384615385,0.095384615384615,0.006153846153846,0,1,1
9,34,3,0,34,4,0.02803738317757,0.105919003115265,0.009345794392523,0,1,1
13,46,2,0,46,3,0.036111111111111,0.127777777777778,0.005555555555556,0,1,1
11,30,2,0,30,1,0.033333333333333,0.090909090909091,0.006060606060606,0,1,1
11,33,3,0,33,1,0.031428571428571,0.094285714285714,0.008571428571429,0,1,1
5,29,2,0,29,3,0.014880952380952,0.086309523809524,0.005952380952381,0,1,1
7,40,3,0,40,1,0.019073569482289,0.108991825613079,0.008174386920981,0,1,1
11,35,2,0,35,0,0.032163742690059,0.10233918128655,0.005847953216374,0,1,1
13,40,5,0,40,3,0.035911602209945,0.110497237569061,0.013812154696133,0,1,1
12,45,1,0,45,1,0.021543985637343,0.080789946140036,0.001795332136445,0,1,1
6,44,0,0,44,1,0.017341040462428,0.127167630057803,0,0,1,1
8,29,0,0,29,3,0.022988505747126,0.083333333333333,0,0,1,1
9,35,3,0,35,3,0.026162790697674,0.101744186046512,0.008720930232558,0,1,1
11,46,4,0,46,2,0.031609195402299,0.132183908045977,0.011494252873563,0,1,1
5,39,1,0,39,4,0.013927576601671,0.108635097493036,0.002785515320334,0,1,1
9,31,0,0,31,1,0.026392961876833,0.090909090909091,0,0,1,1
9,39,3,0,39,5,0.026706231454006,0.115727002967359,0.008902077151335,0,1,1
9,31,4,0,31,4,0.026470588235294,0.091176470588235,0.011764705882353,0,1,1
8,40,4,0,40,2,0.022662889518414,0.113314447592068,0.011331444759207,0,1,1
15,48,4,0,48,1,0.045592705167173,0.145896656534954,0.012158054711246,0,1,1
18,50,12,0,50,1,0.032967032967033,0.091575091575092,0.021978021978022,0,1,1
14,49,4,0,49,1,0.038567493112948,0.134986225895317,0.011019283746557,0,1,1
10,45,1,0,45,1,0.030120481927711,0.135542168674699,0.003012048192771,0,1,1
16,42,3,0,42,1,0.046783625730994,0.12280701754386,0.008771929824561,0,1,1
9,33,0,0,33,1,0.026627218934911,0.097633136094675,0,0,1,1
10,34,2,0,34,4,0.029761904761905,0.101190476190476,0.005952380952381,0,1,1
7,39,5,0,39,1,0.019774011299435,0.110169491525424,0.014124293785311,0,1,1
13,25,1,0,25,0,0.037249283667622,0.07163323782235,0.002865329512894,0,1,1
9,35,5,0,35,1,0.026086956521739,0.101449275362319,0.014492753623188,0,1,1
15,42,3,0,42,1,0.043227665706052,0.121037463976945,0.00864553314121,0,1,1
11,40,2,0,40,1,0.030470914127424,0.110803324099723,0.005540166204986,0,1,1
13,41,9,0,41,2,0.037463976945245,0.118155619596542,0.025936599423631,0,1,1
6,28,2,0,28,1,0.017857142857143,0.083333333333333,0.005952380952381,0,1,1
15,34,1,0,34,1,0.042492917847026,0.096317280453258,0.002832861189802,0,1,1
10,25,1,0,25,0,0.028985507246377,0.072463768115942,0.002898550724638,0,1,1
9,48,5,0,48,1,0.024193548387097,0.129032258064516,0.013440860215054,0,1,1
11,41,1,0,41,1,0.029810298102981,0.111111111111111,0.002710027100271,0,1,1
14,29,1,0,29,2,0.04416403785489,0.091482649842271,0.003154574132492,0,1,1
7,34,4,0,34,2,0.020527859237537,0.099706744868035,0.011730205278592,0,1,1
11,51,8,0,51,0,0.03125,0.144886363636364,0.022727272727273,0,1,1
10,39,0,1,39,0,0.027932960893855,0.108938547486034,0,0.002793296089385,1,1
8,23,0,0,23,1,0.022038567493113,0.0633608815427,0,0,1,1
15,63,3,0,63,3,0.024350649350649,0.102272727272727,0.00487012987013,0,1,1
